# Constructed from biom file
#OTU ID	SRR10484371-taxa	SRR10484376-taxa	SRR10484377-taxa	SRR10484382-taxa	SRR10484388-taxa	SRR10484393-taxa	SRR10484399-taxa	SRR10484404-taxa	SRR10484410-taxa	SRR10484415-taxa	SRR10484421-taxa	SRR10484426-taxa	SRR10484431-taxa	SRR10484432-taxa	SRR10484437-taxa	SRR10484443-taxa	SRR10484448-taxa	SRR10484454-taxa	SRR10484459-taxa	Consensus Lineage
2	34847.0	20073.0	24211.0	28748.0	9236.0	16924.0	8817.0	27593.0	14985.0	14872.0	24617.0	11506.0	34212.0	11836.0	8771.0	22040.0	25991.0	10524.0	34559.0	k__Bacteria; p__; c__; o__; f__; g__; s__
976	20467.0	928.0	12378.0	6872.0	21230.0	4666.0	833.0	10771.0	10029.0	10448.0	8024.0	117.0	396.0	106.0	125.0	21602.0	29054.0	718.0	1466.0	k__Bacteria; p__Bacteroidetes; c__; o__; f__; g__; s__
200643	544.0	83.0	639.0	268.0	119.0	72.0	25.0	408.0	359.0	471.0	441.0	5.0	23.0	2.0	1.0	563.0	644.0	19.0	35.0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__; f__; g__; s__
171549	469976.0	5674.0	95126.0	48832.0	87372.0	30691.0	17639.0	142175.0	105537.0	74504.0	85016.0	922.0	3153.0	612.0	806.0	201454.0	410422.0	5362.0	8295.0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__; g__; s__
816	1376455.0	7535.0	158247.0	57202.0	396196.0	32907.0	25787.0	420526.0	675847.0	37083.0	190372.0	1645.0	3574.0	746.0	2146.0	687477.0	133374.0	7358.0	8661.0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__
821	7692595.0	22637.0	892424.0	193091.0	1513176.0	110369.0	122321.0	1601380.0	2554479.0	111099.0	815904.0	5197.0	13509.0	2483.0	11183.0	3298031.0	48015.0	34309.0	32070.0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__vulgatus
28116	1221381.0	8843.0	65768.0	85556.0	2743818.0	98267.0	53745.0	498449.0	8471.0	65131.0	299047.0	1473.0	1631.0	752.0	4599.0	379225.0	2799716.0	9318.0	21071.0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__ovatus
47678	1037523.0	5674.0	325868.0	88725.0	26184.0	64395.0	42358.0	24868.0	2124.0	82939.0	13818.0	557.0	1345.0	927.0	2817.0	404069.0	487864.0	9499.0	1308.0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__caccae
818	848710.0	25436.0	230847.0	110648.0	69157.0	40045.0	29930.0	80510.0	5970.0	80086.0	32699.0	653.0	1329.0	2228.0	1519.0	612429.0	719072.0	7552.0	6848.0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__thetaiotaomicron
1796613	807660.0	2507.0	17629.0	33657.0	251619.0	43876.0	36908.0	185178.0	18729.0	35762.0	38165.0	356.0	1007.0	305.0	736.0	279794.0	244402.0	3085.0	2883.0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__caecimuris
