# Constructed from biom file
#OTU ID	C6d-A4	C10a-B9	C10e-C1	C7c-A8	C6a-A1	C6e-A5	C10b-B10	C7d-A9	C6b-A2	C7a-A6	C10c-B11	C7e-A10	C10d-B12	C6c-A3	C7b-A7	C8a-A11	D10c-A5	D10c-E1	C9a-B4	C8b-A12	D10d-E2	C9e-B8	C8c-B1	C9b-B5	D10e-E3	D10a-D11	D1b-A6	D10b-B2	D10b-D12	C8d-B2	C9c-B6	D5e-C2	D6a-C3	C8e-B3	C9d-B7	D6b-A9	D6d-C6	D6b-C4	D7e-C12	D7b-C9	D6e-C7	D8d-D4	D8a-D1	D8b-A10	D7d-C11	D8b-D2	D9c-D8	D8e-D5	D7a-C8	D9a-D6	D9b-D7	D9d-D9	D9c-A4	D9e-D10
13c9383ce0761a3e96225c6250b791a1	7905.0	2972.0	513.0	2568.0	1903.0	4783.0	4160.0	2395.0	3198.0	1757.0	1710.0	2524.0	382.0	1742.0	3511.0	977.0	0.0	0.0	726.0	4258.0	1504.0	1508.0	2085.0	4388.0	291.0	3751.0	0.0	0.0	0.0	3652.0	959.0	0.0	353.0	4949.0	1064.0	7.0	860.0	4.0	68.0	5.0	253.0	740.0	1903.0	10.0	287.0	2.0	3.0	227.0	390.0	4036.0	0.0	439.0	3.0	6.0
e4cc61f98bf248ac9750f855332a1bd2	7274.0	2265.0	586.0	1482.0	1759.0	4498.0	3821.0	3011.0	3711.0	1913.0	1976.0	2310.0	485.0	1845.0	3312.0	620.0	0.0	2.0	905.0	3815.0	1787.0	2042.0	1750.0	3762.0	319.0	4075.0	0.0	0.0	2.0	3119.0	828.0	0.0	402.0	4048.0	1269.0	10.0	808.0	9.0	77.0	0.0	275.0	882.0	2147.0	3.0	365.0	2.0	0.0	302.0	320.0	2410.0	0.0	415.0	3.0	21.0
30a0d2e3de47b6a43973dd10854b8e67	4541.0	1777.0	5117.0	9605.0	1051.0	7081.0	1179.0	6658.0	3185.0	702.0	2585.0	5397.0	8309.0	5198.0	6609.0	3091.0	0.0	28.0	248.0	7704.0	27864.0	5358.0	4512.0	5526.0	40811.0	3862.0	0.0	2.0	0.0	9286.0	6438.0	41687.0	1577.0	4561.0	5587.0	787.0	38120.0	241.0	24213.0	41268.0	45947.0	32507.0	3108.0	143.0	35872.0	10.0	105.0	34963.0	1122.0	2984.0	0.0	29981.0	112.0	29135.0
404721271f5c17b1acc0f61042a075af	3708.0	1579.0	4277.0	7850.0	845.0	7532.0	1384.0	5950.0	2653.0	765.0	2230.0	4451.0	7548.0	4541.0	5459.0	2404.0	0.0	23.0	284.0	6204.0	23672.0	4568.0	3671.0	4838.0	37577.0	3454.0	0.0	0.0	0.0	7928.0	6024.0	37154.0	1475.0	4009.0	5287.0	669.0	31855.0	206.0	22827.0	33294.0	40051.0	27386.0	2935.0	122.0	29684.0	21.0	73.0	36999.0	987.0	2305.0	4.0	27756.0	121.0	27163.0
f0727004f5205101f062e9ca52cdb2f8	1472.0	603.0	1852.0	1565.0	532.0	1785.0	1136.0	1742.0	3538.0	346.0	561.0	1209.0	2492.0	1174.0	2084.0	868.0	0.0	0.0	372.0	2126.0	0.0	2788.0	876.0	3592.0	0.0	2039.0	0.0	0.0	0.0	2188.0	2240.0	0.0	1661.0	1025.0	1314.0	14.0	4.0	0.0	0.0	3.0	2.0	3.0	926.0	0.0	0.0	0.0	0.0	0.0	415.0	862.0	0.0	3.0	2.0	2.0
0fb317935dfa862ef29e26613092bb82	1379.0	685.0	1657.0	1421.0	573.0	1888.0	1242.0	1874.0	3160.0	405.0	619.0	958.0	2299.0	1425.0	1731.0	720.0	0.0	0.0	425.0	1978.0	0.0	2481.0	985.0	3019.0	3.0	2186.0	0.0	0.0	0.0	2002.0	2419.0	0.0	1559.0	956.0	1219.0	12.0	0.0	7.0	3.0	0.0	0.0	0.0	989.0	0.0	0.0	0.0	0.0	0.0	370.0	652.0	0.0	4.0	0.0	2.0
05fbb76ae150f4c520fa880c16daabd4	587.0	0.0	243.0	499.0	4.0	230.0	48.0	210.0	0.0	0.0	11.0	402.0	396.0	377.0	56.0	3.0	0.0	0.0	0.0	32.0	0.0	169.0	73.0	39.0	0.0	0.0	0.0	0.0	0.0	99.0	0.0	0.0	0.0	168.0	214.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
9a9d34adf1144ff008c609d1b3a4a497	545.0	5.0	284.0	533.0	0.0	184.0	51.0	222.0	38.0	2.0	13.0	445.0	369.0	305.0	95.0	0.0	0.0	0.0	0.0	21.0	0.0	206.0	115.0	55.0	0.0	0.0	0.0	0.0	0.0	88.0	116.0	0.0	0.0	153.0	190.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4ba68d89299cf07f55ebd231004bf597	484.0	599.0	1635.0	846.0	841.0	1247.0	514.0	1841.0	907.0	106.0	1680.0	2854.0	660.0	748.0	774.0	329.0	0.0	0.0	93.0	313.0	0.0	1107.0	322.0	1588.0	0.0	253.0	0.0	0.0	0.0	422.0	813.0	0.0	23.0	2075.0	317.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	1228.0	0.0	0.0	0.0	0.0	0.0	1266.0	910.0	0.0	2.0	0.0	0.0
eec7cef3d508ac6e0bd6d495fbba441b	430.0	357.0	1244.0	1847.0	206.0	1079.0	729.0	568.0	1651.0	322.0	414.0	1034.0	1197.0	1380.0	1661.0	1500.0	0.0	0.0	50.0	3012.0	0.0	761.0	320.0	2120.0	2.0	1127.0	0.0	0.0	0.0	1002.0	1055.0	3.0	152.0	450.0	723.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	678.0	0.0	0.0	2.0	0.0	0.0	222.0	329.0	0.0	2.0	0.0	0.0
ba99b8fa66e9b71a9560363acde5d335	426.0	640.0	1503.0	939.0	692.0	1018.0	479.0	1957.0	816.0	84.0	1572.0	2541.0	714.0	650.0	898.0	282.0	0.0	0.0	126.0	286.0	0.0	1207.0	437.0	1409.0	0.0	270.0	0.0	0.0	0.0	533.0	929.0	0.0	21.0	1812.0	336.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	1121.0	11.0	1.0	2.0	0.0	0.0	1038.0	652.0	0.0	0.0	0.0	2.0
610fe25b5b7965b42f584f18853aea9f	381.0	2.0	37.0	186.0	42.0	187.0	2.0	109.0	9.0	6.0	51.0	0.0	226.0	136.0	27.0	32.0	0.0	0.0	2.0	122.0	0.0	15.0	112.0	50.0	0.0	33.0	0.0	0.0	0.0	29.0	115.0	0.0	0.0	0.0	53.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	325.0	2.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0
