Samples	input	both_kept	fwd_only	rev_only	dropped	human_GRch38	phix174	host	nonhost
504_t0	41926616	40845308	782645	224214	74449	347	6	353	39539999
504_t1	37351766	36036515	998405	227912	88934	338	12	350	34221455
504_t2	51526700	50349046	759491	328880	89283	14520	4	14524	39363158
504_t3	32968149	32003692	743445	158842	62170	981	53	1034	31104141
505_t0	39929871	38681564	949539	218929	79839	6027	19	6046	37435248
505_t1	38802162	37407850	1099296	201846	93170	4181	6	4187	36431702
505_t2	39236071	37835049	1055062	248758	97202	7737	5	7742	36928662
505_t3	46191088	43680309	2345714	101649	63416	2630	97	2727	42993640
506_t0	36485035	35537069	658013	221761	68192	1466	4	1470	34637048
506_t1	35283990	34177854	843335	189766	73035	253	1	254	33197788
506_t2	34338199	33420000	568377	278235	71587	1198	2	1200	32764900
506_t3	34693325	33437726	938633	230728	86238	1965	19	1984	32644550
507_t0	37919487	36363627	1210098	244193	101569	2697	19	2716	34885145
507_t1	36176722	34978406	903736	214538	80042	4680	1	4681	34207077
507_t2	40492245	39023654	1145546	235695	87350	467	3	470	38388889
507_t3	40896582	39599687	951950	254841	90104	644	3	647	38986409
508_t0	34171279	33180193	697996	222466	70624	666	20	686	32512181
508_t1	39065110	37379523	1315421	259879	110287	106	12	118	36565798
508_t2	104068807	101657146	1804752	440728	166181	3068	2	3070	96467651
508_t3	43907869	42522295	1117919	186011	81644	413	7	420	40387664
510_t0	43589930	42330382	919282	251442	88824	1817	6	1823	41193252
510_t1	35249257	34169227	819575	188952	71503	30059	2	30061	33578371
510_t2	36707396	35537870	883877	212328	73321	2207	5	2212	34793484
510_t3	41210792	39918558	933989	265225	93020	4403	17	4420	39021737
511_t0	54175449	51885393	2148952	96393	44711	3906	57	3963	50992107
511_t1	50885788	48356003	2396455	87645	45685	10774	80	10854	47446016
511_t2	48593565	44962544	3507792	68277	54952	371326	56	371382	43322783
511_t3	29390436	27558451	1715503	68592	47890	53575	26	53601	26737306
512_t0	62271548	59779447	2331580	109149	51372	33619	49	33668	58411992
512_t1	38096722	36043537	1972786	53818	26581	6001	40	6041	35148835
512_t2	20801558	19315826	1422977	31921	30834	17117	48	17165	18766753
512_t3	9838827	9114898	669773	27765	26391	5417	43	5460	8925039
516_t0	32153251	30651673	1405007	66709	29862	180	35	215	29512461
516_t1	37763209	35583271	2102106	49732	28100	1414	20	1434	33252036
516_t2	46395432	43577736	2719282	62331	36083	3866	85	3951	42144271
516_t3	49905668	46771666	3037233	60290	36479	1463	71	1534	44567800
517_t0	40702092	38993572	1497724	139040	71756	473	34	507	38473887
517_t1	47359088	45505921	1753482	65929	33756	52603	66	52669	44685495
517_t2	41008214	39372939	1548971	56085	30219	753	52	805	38774694
517_t3	47956438	46306926	1552051	67047	30414	903	52	955	45594774
518_t0	45024032	43371849	1553644	67305	31234	13732	51	13783	42538890
518_t1	40792900	39184377	1500866	72235	35422	4182	51	4233	38531659
518_t2	54476949	51127105	3181539	103827	64478	163812	43	163855	48936244
518_t3	46853608	45062858	1679399	74098	37253	26285	94	26379	44358675
519_t0	44277613	42131817	2007771	96401	41624	4110	37	4147	41047731
519_t1	54337990	51746789	2447954	88792	54455	30853	85	30938	49814882
519_t2	41689429	38758431	2685152	148911	96935	5502	48	5550	36790955
519_t3	39367027	37733802	1533674	66037	33514	1385	43	1428	37129304
522_t0	45065596	43420133	1526946	84144	34373	32060	49	32109	42272208
522_t1	34073473	32427589	1535122	76992	33770	49719	45	49764	31719422
522_t2	48779334	46180801	2457713	88266	52554	186388	85	186473	44915476
522_t3	46380414	44029414	2223462	79758	47780	423212	69	423281	42789480
523_t0	41838779	40137297	1468751	161901	70830	570481	89	570570	36941506
523_t1	43135065	41432791	1585871	83612	32791	1708319	41	1708360	37703370
523_t2	49381152	46608105	2660043	70089	42915	840458	125	840583	34912482
523_t3	604552	566347	36079	1224	902	53547	16	53563	482521
524_t0	48392059	46251410	2010366	88481	41802	1017	67	1084	45396236
524_t1	43212812	41373442	1722360	82188	34822	6369	82	6451	40778855
524_t2	50775496	48603472	2038966	91052	42006	7952	53	8005	47836089
524_t3	44746083	41800561	2815928	76255	53339	5031	77	5108	41063197
528_t0	39072194	36819349	2098213	100333	54299	1902	42	1944	35804266
528_t1	38677132	36831603	1693380	105223	46926	1045	50	1095	35892481
528_t2	43595803	40592692	2895453	68485	39173	1499	68	1567	38928773
528_t3	43995673	41392138	2504574	65109	33852	5801	64	5865	39129235
532_t0	33279366	30979523	2202148	62138	35557	824	89	913	30221277
532_t1	48890064	45943373	2817237	88080	41374	25309	72	25381	44933731
532_t2	41934553	38335106	3484672	69788	44987	4552	79	4631	37646234
532_t3	54667177	50341855	4176055	91157	58110	7876	96	7972	49356539
534_t0	44727351	41044299	3544711	84509	53832	1953	65	2018	39595236
534_t1	59209659	56332711	2687767	128481	60700	3768	108	3876	55200690
534_t2	41002920	39005506	1871111	85921	40382	6009	53	6062	38139712
534_t3	39815190	36824332	2761475	144771	84612	1073	43	1116	36114882
537_t0	45006488	43709306	1143737	120469	32976	168796	55	168851	42630625
537_t1	54524857	50981797	3373359	102127	67574	36456	377	36833	48787013
537_t2	38727703	36914875	1667481	96712	48635	92404	73	92477	36056478
537_t3	40565411	38780240	1553641	157458	74072	613	43	656	38206344
538_t0	39840717	38183198	1515708	98748	43063	3648	45	3693	37554000
538_t1	26983594	25996589	894481	66827	25697	158737	39	158776	25477589
538_t2	23236347	21888285	1213771	84885	49406	1330165	46	1330211	19704403
538_t3	43363002	41669231	1546570	103271	43930	626	60	686	41068566
