ACT97415.1	ARO:3002999	CblA-1	mixed culture bacterium AX_gF3SD01_15
AEJ08681.1	ARO:3001109	SHV-52	Klebsiella pneumoniae
AAD01868.1	ARO:3002867	dfrF	Enterococcus faecalis
AFJ59957.1	ARO:3001989	CTX-M-130	Escherichia coli
AEX08599.1	ARO:3002356	NDM-6	Escherichia coli
BAP68758.1	ARO:3001855	ACT-35	Enterobacter cloacae
AAF61417.1	ARO:3002244	CARB-5	Acinetobacter calcoaceticus subsp. anitratus
AAP74657.1	ARO:3000600	Erm(34)	Bacillus clausii
AAT45742.1	ARO:3000988	TEM-126	Escherichia coli
ACH58990.1	ARO:3002511	LRA-12	uncultured bacterium BLR12
AAF19151.1	ARO:3000938	TEM-72	Morganella morganii
AAD45935.1	ARO:3000928	TEM-59	Klebsiella oxytoca
ACS35345.1	ARO:3002320	KPC-10	Acinetobacter baumannii
AEV91551.1	ARO:3001711	OXA-212	Acinetobacter johnsonii
CAB94707.1	ARO:3002193	IMP-2	Acinetobacter baumannii
CAA63264.1	ARO:3002012	CMY-1	Klebsiella pneumoniae
AGW16411.1	ARO:3001517	OXA-329	Acinetobacter calcoaceticus
AEV91214.1	ARO:3001832	ACT-10	Serratia marcescens
BAO09635.1	ARO:3001557	OXA-371	Acinetobacter baumannii
AAL12234.1	ARO:3003552	fusB	Staphylococcus aureus
AFA51699.1	ARO:3001980	CTX-M-121	Escherichia coli
AAS48620.1	ARO:3002372	VEB-3	Enterobacter cloacae
AAA26652.1	ARO:3002835	lnuA	Staphylococcus haemolyticus
CAD58780.1	ARO:3001794	OXA-45	Pseudomonas aeruginosa
ACM67635.1	ARO:3001800	OXA-226	Pseudomonas aeruginosa
AIS67611.1	ARO:3003163	CTX-M-155	Klebsiella pneumoniae
AIT76106.1	ARO:3002146	DHA-15	Klebsiella pneumoniae
ACB05808.1	ARO:3003109	msrE	Acinetobacter baumannii
CAI43424.1	ARO:3002415	OXY-6-3	Klebsiella oxytoca
ACC85616.1	ARO:3002804	FosA2	Enterobacter cloacae
AAA26699.1	ARO:3002649	APH(3')-Va	Streptomyces fradiae
AAG15269.1	ARO:3002528	AAC(3)-Ia	Pseudomonas aeruginosa
AFR46589.1	ARO:3002771	QnrB58	Citrobacter freundii
AGH19769.1	ARO:3003198	rmtH	Klebsiella pneumoniae
CAI43422.1	ARO:3002413	OXY-6-1	Klebsiella oxytoca
AAL19308.1	ARO:3000504	golS	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2
BAE78082.1	ARO:3003550	mdtP	Escherichia coli str. K-12 substr. W3110
AIT76099.1	ARO:3002125	CMY-114	Citrobacter freundii
AAQ08905.1	ARO:3001808	OXA-60	Ralstonia pickettii
CAJ77809.1	ARO:3001650	OXA-90	Acinetobacter baumannii
AAG29813.1	ARO:3002380	SME-2	Serratia marcescens
AAA25683.1	ARO:3002538	AAC(3)-IIIc	Pseudomonas aeruginosa
AAL79541.1	ARO:3002397	OXY-2-2	Klebsiella oxytoca
ACS44783.1	ARO:3002188	MOX-5	Aeromonas caviae
AGE11905.1	ARO:3000904	TEM-34	Haemophilus parainfluenzae
CAM86994.1	ARO:3001617	OXA-69	Acinetobacter baumannii AYE
AAO33760.1	ARO:3000879	TEM-7	Escherichia coli] Partial
BAA84973.1	ARO:3001082	SHV-24	Escherichia coli
AFU25658.1	ARO:3002762	QnrB47	Citrobacter freundii
CCE94500.1	ARO:3001502	OXA-256	Enterobacter cloacae
AEG74318.1	ARO:3002795	QnrS6	Aeromonas hydrophila
AGW16412.1	ARO:3001518	OXA-330	Acinetobacter calcoaceticus
ADM21467.1	ARO:3002053	CMY-42	Escherichia coli
AFJ11384.1	ARO:3002546	AAC(6')-Ib	Klebsiella pneumoniae
AFU25635.1	ARO:3002083	CMY-70	Citrobacter braakii
AFK80745.1	ARO:3002350	GES-21	uncultured bacterium
AAN04883.1	ARO:3001099	SHV-41	Klebsiella pneumoniae
AHN53381.1	ARO:3001577	OXA-391	Acinetobacter baumannii
AAR84298.1	ARO:3000996	TEM-132	Klebsiella pneumoniae
CAH10847.1	ARO:3002620	aadA23	Salmonella enterica subsp. enterica serovar Agona
AGT37351.1	ARO:3002360	NDM-10	Klebsiella pneumoniae subsp. pneumoniae
AGL43627.1	ARO:3002778	QnrB66	Citrobacter freundii
AAN04884.1	ARO:3001100	SHV-42	Klebsiella pneumoniae
AAK49460.1	ARO:3001429	OXA-35	Pseudomonas aeruginosa
AAF64386.1	ARO:3001076	SHV-18	Klebsiella pneumoniae
CAA90432.1	ARO:3003026	fusH	Streptomyces lividans
CAJ47134.2	ARO:3001133	SHV-79	Klebsiella pneumoniae
CAA71322.1	ARO:3000916	TEM-47	Klebsiella pneumoniae
CAA46346.1	ARO:3000887	TEM-16	Klebsiella pneumoniae
AGC50807.1	ARO:3002307	VIM-37	Pseudomonas aeruginosa
AIT76085.1	ARO:3001849	ACT-29	Enterobacter asburiae
CAA71947.1	ARO:3002157	FOX-3	Klebsiella oxytoca
ACE77058.1	ARO:3002366	PER-4	Proteus vulgaris
CAF05908.1	ARO:3000845	GIM-1	Pseudomonas aeruginosa
BAM62793.1	ARO:3002233	IMP-42	Acinetobacter soli
AAK82652.1	ARO:3000965	TEM-102	Plasmid pWW100
AAB39956.1	ARO:3000979	TEM-116	Staphylococcus aureus
ADK55605.1	ARO:3002066	CMY-55	Escherichia coli
AAA65958.1	ARO:3002955	vanYA	Enterococcus faecium
BAE77778.1	ARO:3000508	gadX	Escherichia coli str. K-12 substr. W3110
AAY84742.1	ARO:3001904	CTX-M-42	Escherichia coli
ACI22621.1	ARO:3001154	SHV-105	Klebsiella pneumoniae
AFK73446.1	ARO:3002092	CMY-79	Citrobacter freundii
ADT91162.1	ARO:3002067	CMY-56	Klebsiella pneumoniae
AJA32744.1	ARO:3003149	OXA-426	Acinetobacter baumannii
AAF61331.1	ARO:3002966	vanXYC	Enterococcus gallinarum
ADP02979.1	ARO:3002059	CMY-48	Citrobacter freundii
AEL00461.1	ARO:3002753	QnrB38	Citrobacter freundii
AAT46413.1	ARO:3000972	TEM-109	Escherichia coli
CAG27800.1	ARO:3003203	TLA-2	uncultured bacterium
CAI76927.1	ARO:3001071	SHV-12	Escherichia coli
AAT01092.1	ARO:3001773	OXA-61	Campylobacter jejuni
AAC09012.1	ARO:3002243	CARB-4	Pseudomonas aeruginosa
AAL68645.1	ARO:3002681	catB9	Vibrio cholerae
AAC32889.2	ARO:3000912	TEM-43	Klebsiella pneumoniae
ACQ82813.1	ARO:3002507	PDC-8	Pseudomonas aeruginosa
CAB60001.1	ARO:3000326	ErmE	Saccharopolyspora erythraea NRRL 2338
AAD03493.1	ARO:3002565	AAC(6')-Iu	Acinetobacter dispersus
AJE60855.1	ARO:3003209	FosA5	Escherichia coli
ABN80430.1	ARO:3002375	VEB-5	Escherichia coli
CAA90683.1	ARO:3003012	dfrA13	Escherichia coli
AAG44570.1	ARO:3000954	TEM-87	Proteus mirabilis
CAP45903.1	ARO:3002733	QnrB18	Citrobacter freundii
ACH58989.1	ARO:3002488	LRA-9	uncultured bacterium BLR9
AAZ73123.1	ARO:3002282	VIM-12	Klebsiella pneumoniae
AAN34365.1	ARO:3002604	aadA4	Acinetobacter baumannii
AAC76539.1	ARO:3000796	mdtF	Escherichia coli str. K-12 substr. MG1655
AFN88953.1	ARO:3002304	VIM-34	Klebsiella pneumoniae
ABA06586.1	ARO:3001119	SHV-64	Klebsiella pneumoniae
BAJ05825.1	ARO:3002263	IND-7	Chryseobacterium indologenes
AJO16042.1	ARO:3001364	SHV-182	Klebsiella pneumoniae
ADR71220.1	ARO:3001045	TEM-183	Klebsiella pneumoniae
BAH45481.1	ARO:3002815	clbB	Brevibacillus brevis NBRC 100599
CAA45050.1	ARO:3002828	srmB	Streptomyces ambofaciens
CWV56762.1	ARO:3000198	FosX	Listeria monocytogenes
AEM44652.1	ARO:3001972	CTX-M-112	Shigella sp. SH257
AAV97955.1	ARO:3001912	CTX-M-50	Klebsiella pneumoniae
BAL68178.1	ARO:3001057	TEM-198	Klebsiella pneumoniae
AGC29882.1	ARO:3002853	arr-8	Klebsiella oxytoca
AFO53532.1	ARO:3002883	rgt1438	Streptomyces sp. WAC1438
AHV85514.1	ARO:3002383	SME-5	Serratia marcescens
BAB72158.1	ARO:3002020	CMY-9	Escherichia coli
AAX38178.1	ARO:3002634	APH(2'')-Ie	Enterococcus casseliflavus
CAA42594.1	ARO:3002690	cml	Streptomyces lividans 1326
ABG56269.1	ARO:3002724	QnrB10	Citrobacter freundii
AAA25680.1	ARO:3002595	AAC(6')-IIb	Pseudomonas fluorescens
AAB05622.1	ARO:3002921	vanRB	Enterococcus faecalis
CAA40386.1	ARO:3003103	cphA7	Aeromonas hydrophila
CAD12765.1	ARO:3002203	IMP-12	Pseudomonas putida
AFM55000.1	ARO:3001692	OXA-229	Acinetobacter bereziniae
CAK50801.1	ARO:3001646	OXA-98	Acinetobacter baumannii
AAG35609.2	ARO:3001422	OXA-27	Acinetobacter baumannii
ABH04327.1	ARO:3001144	SHV-92	Klebsiella pneumoniae
ACJ47200.1	ARO:3002612	aadA12	Escherichia coli
AFQ93498.1	ARO:3002676	catB3	Enterobacter cloacae
