geneID	taxon	count	SampleID
NP_388442.1	Bacillus subtilis subsp. subtilis str. 168	1836.0	508_t0
AAG07763.1	Pseudomonas aeruginosa PAO1	1669.0	508_t0
AAC73788.1	Escherichia coli str. K-12 substr. MG1655	715.0	508_t0
CAA79727.1	Bacteroides fragilis	19939.0	508_t0
QBQ69719.1	Escherichia coli	2627.0	508_t0
ACH87088.1	Escherichia coli	794.0	508_t0
AAC76298.1	Escherichia coli str. K-12 substr. MG1655	1445.0	508_t0
AAC74000.1	Escherichia coli str. K-12 substr. MG1655	4352.0	508_t0
AAV85982.1	Neisseria gonorrhoeae	9170.0	508_t0
AAO47226.2	Streptomyces rishiriensis	4553.0	508_t0
AAK76137.1	Streptococcus pneumoniae TIGR4	749.0	508_t0
ABD30512.1	Staphylococcus aureus subsp. aureus NCTC 8325	785.0	508_t0
AAD51348.1	Stenotrophomonas maltophilia	534.0	508_t0
APB03219.1	Paenibacillus sp. LC231	4839.0	508_t0
AAC75136.1	Escherichia coli str. K-12 substr. MG1655	89.0	508_t0
QBQ85438.1	Acinetobacter baumannii	737.0	508_t0
AEY83581	Staphylococcus aureus	2231.0	508_t0
AAX14802.1	Acinetobacter baumannii	933.0	508_t0
AAY32951.1	Streptococcus agalactiae	1045.0	508_t0
AAB05622.1	Enterococcus faecalis	736.0	508_t0
CBI75871.1	Bartonella clarridgeiae 73	118.0	508_t0
BAD59497.1	Nocardia farcinica IFM 10152	8692.0	508_t0
CAC14595.1	Stenotrophomonas maltophilia	1005.0	508_t0
BAE06007.1	Pseudomonas aeruginosa	84.0	508_t0
AAA26793	Streptomyces antibioticus	1382.0	508_t0
AHA41505.1	Rhodococcus hoagii	1629.0	508_t0
AAC75429.1	Escherichia coli str. K-12 substr. MG1655	458.0	508_t0
AVI44920.1	Staphylococcus aureus	1258.0	508_t0
AAF67494.2	Streptomyces niveus	2531.0	508_t0
A1A317	Bifidobacterium adolescentis ATCC 15703	4217.0	508_t0
AAC75089.1	Escherichia coli str. K-12 substr. MG1655	3350.0	508_t0
AET35493.1	uncultured bacterium	2165.0	508_t0
AAC75314.1	Escherichia coli str. K-12 substr. MG1655	564.0	508_t0
ABS43151.1	Campylobacter jejuni subsp. doylei 269.97	7969.0	508_t0
BAA34300.1	Pseudomonas aeruginosa PAO1	1395.0	508_t0
AAB95639.1	Staphylococcus aureus	438.0	508_t0
ABX00624.1	Streptomyces lincolnensis	923.0	508_t0
WP_000192137.1	Bacillales	871.0	508_t0
AKA86814	Enterococcus faecalis	3838.0	508_t0
AAG05882.1	Pseudomonas aeruginosa PAO1	3655.0	508_t0
ANZ79241.1	uncultured bacterium	594.0	508_t0
CDO61516.1	Enterococcus faecium	1763.0	508_t0
AAA27459.1	Transposon Tn4551	4192.0	508_t0
AHB37625.1	Staphylococcus cohnii	237.0	508_t0
AAC76539.1	Escherichia coli str. K-12 substr. MG1655	983.0	508_t0
AAC60781.1	Yersinia enterocolitica (type O:8)	2278.0	508_t0
AAA20117.1	Clostridium perfringens	492.0	508_t0
AAA99504.1	Bacillus licheniformis	4314.0	508_t0
AAA88675.1	Bacteroides fragilis	3212.0	508_t0
AAR84672.1	Paenibacillus popilliae ATCC 14706	1436.0	508_t0
BAE77781.1	Escherichia coli str. K-12 substr. W3110	62.0	508_t0
CAA53189	Staphylococcus aureus	1541.0	508_t0
AAF36803.1	Paenibacillus popilliae ATCC 14706	40.0	508_t0
AAB41957.1	Pseudomonas aeruginosa	1781.0	508_t0
CBH51823.1	Campylobacter fetus subsp. fetus	329.0	508_t0
AAL19305.1	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	2599.0	508_t0
APB03214.1	Paenibacillus sp. LC231	690.0	508_t0
AAC75271.1	Escherichia coli str. K-12 substr. MG1655	229.0	508_t0
CAA10975.1	Butyrivibrio fibrisolvens	1084.0	508_t0
AAA26832.1	Streptomyces fradiae	486.0	508_t0
AAB36568.1	Streptomyces venezuelae ATCC 10712	206.0	508_t0
CAA11473.1	Pseudomonas aeruginosa	314.0	508_t0
AGN74946	Staphylococcus sciuri subsp. sciuri	260.0	508_t0
AAF86219.1	Enterococcus faecium	357.0	508_t0
CCP46065.1	Mycobacterium tuberculosis H37Rv	727.0	508_t0
CAL84423.1	Clostridium botulinum A str. ATCC 3502	292.0	508_t0
AAA21532.1	Bacteroides fragilis	1154.0	508_t0
AAA27471.1	Bacteroides fragilis	2299.0	508_t0
NP_252896.1	Pseudomonas aeruginosa PAO1	1153.0	508_t0
CBY88983.1	Staphylococcus aureus subsp. aureus ST398	465.0	508_t0
CAH14033.1	Legionella pneumophila str. Paris	513.0	508_t0
AAP43110.2	Escherichia coli	1975.0	508_t0
AAA65953.1	Enterococcus faecium	346.0	508_t0
AAB05625.1	Enterococcus faecalis	33.0	508_t0
APB03216.1	Paenibacillus sp. LC231	664.0	508_t0
AAN28721.1	uncultured bacterium	806.0	508_t0
AAG06942.1	Pseudomonas aeruginosa PAO1	519.0	508_t0
AAF36802.1	Paenibacillus popilliae ATCC 14706	70.0	508_t0
AAF86220.1	Enterococcus faecium	599.0	508_t0
BAA16344.1	Escherichia coli str. K-12 substr. W3110	1265.0	508_t0
AAF01499.1	Streptococcus pyogenes	1640.0	508_t0
CAE18141.1	Staphylococcus sciuri	366.0	508_t0
AAB05623.1	Enterococcus faecalis	28.0	508_t0
AAD51345.1	Stenotrophomonas maltophilia	1371.0	508_t0
CDO61513.1	Enterococcus faecium	1909.0	508_t0
AAM09851.1	Enterococcus faecium	165.0	508_t0
CAE00499.1	Clostridioides difficile	359.0	508_t0
AAK76136.1	Streptococcus pneumoniae TIGR4	970.0	508_t0
AAC32027.1	Streptomyces thermotolerans	633.0	508_t0
CAA37477.1	Streptomyces rimosus	282.0	508_t0
AHE40557.1	Exiguobacterium sp. S3-2	15.0	508_t0
AAB58161.1	Burkholderia cepacia	1483.0	508_t0
ACS83559.1	Clostridium perfringens	785.0	508_t0
ACT97415.1	mixed culture bacterium AX_gF3SD01_15	2343.0	508_t0
AET10445.1	Streptococcus australis	821.0	508_t0
BAE06008.1	Pseudomonas aeruginosa	793.0	508_t0
CAA09666.1	Klebsiella pneumoniae	56.0	508_t0
CAA45050.1	Streptomyces ambofaciens	138.0	508_t0
AAC73564.1	Escherichia coli str. K-12 substr. MG1655	1388.0	508_t0
AEP40500.1	Enterococcus faecium	98.0	508_t0
BAE85478.1	Desulfitobacterium hafniense Y51	1036.0	508_t0
ADM92605.1	Acinetobacter baumannii	256.0	508_t0
AAK37619.1	Vibrio harveyi	109.0	508_t0
AAC76093.1	Escherichia coli str. K-12 substr. MG1655	586.0	508_t0
BAM10414.1	Pseudomonas aeruginosa	196.0	508_t0
CAB60001.1	Saccharopolyspora erythraea NRRL 2338	214.0	508_t0
BAA15935.1	Escherichia coli str. K-12 substr. W3110	438.0	508_t0
AAB58160.1	Burkholderia cepacia	44.0	508_t0
AAA50325.1	Streptomyces antibioticus	538.0	508_t0
AAG05914	Pseudomonas aeruginosa PAO1	457.0	508_t0
ABX54687.1	Enterococcus faecalis	211.0	508_t0
ABX54691.1	Enterococcus faecalis	306.0	508_t0
AAL14440.1	Acinetobacter baumannii	1152.0	508_t0
AYV52072.1	Lactococcus lactis	1287.0	508_t0
APB03220.1	Paenibacillus sp. LC231	145.0	508_t0
AEP40504.1	Enterococcus faecium	171.0	508_t0
BAA03674.1	Micromonospora griseorubida	39.0	508_t0
AID93387.1	Klebsiella oxytoca KONIH1	235.0	508_t0
ABA71733.1	Enterococcus faecalis	440.0	508_t0
AEA37904.1	Streptococcus agalactiae	387.0	508_t0
AAL19304.1	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	286.0	508_t0
BAE06006.1	Pseudomonas aeruginosa	312.0	508_t0
ABA71731.1	Enterococcus faecalis	403.0	508_t0
AAG03816.1	Pseudomonas aeruginosa PAO1	139.0	508_t0
NP_862226.1	Corynebacterium striatum	1480.0	508_t0
ACJ47200.1	Escherichia coli	35.0	508_t0
AAO82019.1	Enterococcus faecalis V583	65.0	508_t0
ABA71728.1	Enterococcus faecalis	433.0	508_t0
AAF86641.1	Enterococcus gallinarum	210.0	508_t0
ABA71726.1	Enterococcus faecalis	200.0	508_t0
AAK01167.1	Enterococcus faecium	255.0	508_t0
BAA11237.1	Escherichia coli	18.0	508_t0
BAA16547.1	Escherichia coli str. K-12 substr. W3110	155.0	508_t0
ABA71727.1	Enterococcus faecalis	624.0	508_t0
AUI09862.1	uncultured bacterium	395.0	508_t0
AAG05881.1	Pseudomonas aeruginosa PAO1	157.0	508_t0
ACL82957.1	Enterococcus faecium	1026.0	508_t0
BAA11236.1	Escherichia coli	45.0	508_t0
AAD51344.1	Stenotrophomonas maltophilia	138.0	508_t0
AAA22081.1	Agrobacterium fabrum str. C58	664.0	508_t0
AAA23033.2	Campylobacter jejuni	511.0	508_t0
AAC23556.1	Pseudomonas aeruginosa	15.0	508_t0
SOX29786.1	Brachyspira hyodysenteriae	47.0	508_t0
ADP36409.1	Bifidobacterium bifidum PRL2010	413.0	508_t0
ACX92987.1	Enterococcus faecium	212.0	508_t0
AAD37403.1	Escherichia coli	28.0	508_t0
CAH35802.1	Burkholderia pseudomallei K96243	837.0	508_t0
AEO25219.1	Listeria monocytogenes FSL R2-561	429.0	508_t0
AAA73865.1	Clostridium butyricum	12.0	508_t0
AHA41499.1	Rhodococcus hoagii	607.0	508_t0
AAM92461.1	Salmonella enterica subsp. enterica serovar Typhi	58.0	508_t0
ACL82958.1	Enterococcus faecium	96.0	508_t0
AAL73129.1	Streptococcus pyogenes	47.0	508_t0
AET10444.1	Streptococcus australis	97.0	508_t0
EGP45231.1	Achromobacter insuavis AXX-A	234.0	508_t0
ACL82960.1	Enterococcus faecium	126.0	508_t0
SIP52035.1	Pseudomonas aeruginosa	322.0	508_t0
AAA65958.1	Enterococcus faecium	40.0	508_t0
CAL64019.1	Staphylococcus warneri	50.0	508_t0
AAF40763.1	Neisseria meningitidis MC58	167.0	508_t0
AAC75137.1	Escherichia coli str. K-12 substr. MG1655	529.0	508_t0
AAP43109.1	Escherichia coli	182.0	508_t0
AAC37034.1	Bacteroides thetaiotaomicron	36.0	508_t0
AEX49906.1	Pseudomonas aeruginosa	264.0	508_t0
AAA74437.1	Pseudomonas aeruginosa	323.0	508_t0
BAA15934.1	Escherichia coli str. K-12 substr. W3110	97.0	508_t0
AJD73064.1	Streptococcus pneumoniae	23.0	508_t0
ACX92986.2	Enterococcus faecium	39.0	508_t0
AAD01868.1	Enterococcus faecalis	17.0	508_t0
AAO04716.1	Staphylococcus epidermidis ATCC 12228	435.0	508_t0
AAN28945	Chlamydia trachomatis	54.0	508_t0
CBJ02047.1	Escherichia coli ETEC H10407	163.0	508_t0
CAD55718.1	Bacteroides coprosuis DSM 18011	265.0	508_t0
CAM12479.1	uncultured bacterium	204.0	508_t0
AVM85875.1	Escherichia coli	63.0	508_t0
CAJ77855.1	Acinetobacter baumannii AYE	76.0	508_t0
AAL27442.1	Enterococcus faecalis	133.0	508_t0
AAO43110.1	Enterococcus faecalis ATCC 29212	51.0	508_t0
AAF63432	Yersinia enterocolitica	611.0	508_t0
AAS79458.1	Streptomyces bikiniensis	14.0	508_t0
AAF36806.1	Paenibacillus popilliae ATCC 14706	24.0	508_t0
ABH10964.1	Staphylococcus haemolyticus	324.0	508_t0
CBY77552.1	Pasteurella multocida	95.0	508_t0
ACX65640.1	Paenibacillus sp. Y412MC10	20.0	508_t0
AAU10334.1	Streptococcus oralis	34.0	508_t0
AHA41500.1	Rhodococcus hoagii	32.0	508_t0
AAG07064.1	Pseudomonas aeruginosa PAO1	113.0	508_t0
AAF17880.1	Escherichia coli	15.0	508_t0
AAF42062.1	Neisseria meningitidis MC58	437.0	508_t0
AAF74725.1	Bacteroides fragilis	95.0	508_t0
ACL82961.1	Enterococcus faecium	6.0	508_t0
CAJ77856.1	Acinetobacter baumannii AYE	367.0	508_t0
AAA25550.1	Plasmid pAZ1	36.0	508_t0
AAL27445.1	Enterococcus faecalis	185.0	508_t0
AAF86642.1	Enterococcus gallinarum	43.0	508_t0
AAA65954.1	Enterococcus faecium	235.0	508_t0
AAA86871.1	Staphylococcus aureus	238.0	508_t0
AAB05624.1	Enterococcus faecalis	156.0	508_t0
AUR80098.1	Klebsiella pneumoniae	74.0	508_t0
ABX54692.1	Enterococcus faecalis	50.0	508_t0
AAA26652.1	Staphylococcus haemolyticus	16.0	508_t0
CBL58195.1	Staphylococcus aureus	98.0	508_t0
ADM92606.1	Acinetobacter baumannii	30.0	508_t0
AAP15294.1	Pasteurella multocida	96.0	508_t0
WP_011461306.1	Desulfitobacterium hafniense	3.0	508_t0
AAM09850.1	Enterococcus faecium	154.0	508_t0
AAR84673.1	Paenibacillus popilliae ATCC 14706	31.0	508_t0
ACB05808.1	Acinetobacter baumannii	390.0	508_t0
AAA65956.1	Enterococcus faecium	10.0	508_t0
BAB36671.1	Escherichia coli O157:H7 str. Sakai	22.0	508_t0
BAE77933.1	Escherichia coli str. K-12 substr. W3110	10.0	508_t0
AAN06707.1	Shigella sonnei	51.0	508_t0
CAC41008.1	Klebsiella pneumoniae	55.0	508_t0
AMP42147.1	uncultured bacterium IN-02	111.0	508_t0
AAA65955.1	Enterococcus faecium	25.0	508_t0
BAH45481.1	Brevibacillus brevis NBRC 100599	16.0	508_t0
AEP40501.1	Enterococcus faecium	17.0	508_t0
AAB51421.1	Clostridium perfringens	41.0	508_t0
BAE15963.1	Staphylococcus aureus	128.0	508_t0
AAL36430.1	Pseudomonas aeruginosa	19.0	508_t0
ABG77965.1	Enterobacter cloacae	95.0	508_t0
AAA25293.1	Listeria monocytogenes	29.0	508_t0
CAA78046.1	Rhodococcus fascians	40.0	508_t0
AAL19306.1	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	196.0	508_t0
OPG86592.1	Bifidobacterium breve	61.0	508_t0
CAA36304.1	Staphylococcus epidermidis	111.0	508_t0
AHH83938.1	Enterococcus faecium	7.0	508_t0
AAB05626.1	Enterococcus faecalis	67.0	508_t0
AGT57825	synthetic construct	7.0	508_t0
ACL82959.1	Enterococcus faecium	27.0	508_t0
ANK04027.1	Escherichia coli O25b:H4	6.0	508_t0
BAB38260.1	Escherichia coli O157:H7 str. Sakai	45.0	508_t0
CAA30695.1	Plasmid R387	33.0	508_t0
ALV80601.1	Pseudomonas aeruginosa	2.0	508_t0
ABR14060.1	Streptococcus uberis	59.0	508_t0
CAL48457.1	Escherichia coli	8.0	508_t0
AEP40503.1	Enterococcus faecium	91.0	508_t0
BAQ22139.1	Serratia marcescens	4.0	508_t0
ABU39979.1	Bacillus clausii	37.0	508_t0
ADO96486.1	Haemophilus influenzae R2846	11.0	508_t0
BAE83690.1	Desulfitobacterium hafniense Y51	39.0	508_t0
AAC60780.1	Yersinia enterocolitica (type O:8)	30.0	508_t0
ANZ79240.1	uncultured bacterium	175.0	508_t0
AAL27444.1	Enterococcus faecalis	35.0	508_t0
CAC14596.1	Stenotrophomonas maltophilia	86.0	508_t0
CDF47262.1	Clostridioides difficile	31.0	508_t0
BAQ22025.1	Serratia marcescens	1.0	508_t0
AAK64581.1	Vibrio cholerae MO10	44.0	508_t0
ABA42119.2	Streptomyces antibioticus	4.0	508_t0
ABA71729.1	Enterococcus faecalis	36.0	508_t0
CBH51824.1	Campylobacter fetus subsp. fetus	163.0	508_t0
AGV10830.1	Campylobacter coli CVM N29710	28.0	508_t0
AAB41958.1	Pseudomonas aeruginosa	24.0	508_t0
ABA71730.1	Enterococcus faecalis	20.0	508_t0
AQX82857.1	Macrococcus caseolyticus	20.0	508_t0
CAJ77857.1	Acinetobacter baumannii AYE	64.0	508_t0
AAG07065.1	Pseudomonas aeruginosa PAO1	1.0	508_t0
AAA65959.1	Enterococcus faecium	2.0	508_t0
AAB23649.1	Vibrio anguillarum	6.0	508_t0
ABK33456.1	Pseudomonas aeruginosa	10.0	508_t0
EGP45230	Achromobacter insuavis AXX-A	17.0	508_t0
AAA85213.1	Listeria monocytogenes	55.0	508_t0
BAD89844.2	Acinetobacter baumannii	1.0	508_t0
EGE18576.1	Moraxella catarrhalis BC1	27.0	508_t0
AAL27443.1	Enterococcus faecalis	23.0	508_t0
APB03217.1	Paenibacillus sp. LC231	11.0	508_t0
CAH10847.1	Salmonella enterica subsp. enterica serovar Agona	13.0	508_t0
CBL58181.1	Staphylococcus aureus	9.0	508_t0
AAC73565.1	Escherichia coli str. K-12 substr. MG1655	18.0	508_t0
AAC45805.1	Rhodococcus rhodochrous	7.0	508_t0
AAL27446.1	Enterococcus faecalis	11.0	508_t0
AVK94777.1	Escherichia coli	3.0	508_t0
AAB53445.1	Campylobacter coli	16.0	508_t0
AAL59753.1	Vibrio cholerae	24.0	508_t0
AAC36915.1	Clostridium perfringens	49.0	508_t0
CAI47810.1	Pseudomonas aeruginosa	54.0	508_t0
AAC75135.2	Escherichia coli str. K-12 substr. MG1655	5.0	508_t0
AAR96051.1	Streptomyces rimosus	22.0	508_t0
AGC51118.1	Staphylococcus aureus	12.0	508_t0
CAB13167.1	Bacillus subtilis subsp. subtilis str. 168	22.0	508_t0
BAE06009.1	Pseudomonas aeruginosa	29.0	508_t0
ABA71732.1	Enterococcus faecalis	67.0	508_t0
APB03222.1	Paenibacillus sp. LC231	9.0	508_t0
